Code,Occupation_Name,Recent_Labour_Market_Conditions
14110,Survey interviewers and statistical clerks,Balance
14111,Data entry clerks,Moderate signs of Surplus
14112,Desktop publishing operators and related occupations,N/A
14200,Accounting and related clerks,Balance
14201,"Banking, insurance and other financial clerks",Balance
14202,Collection clerks,Balance
14300,Library assistants and clerks,Balance
14301,"Correspondence, publication and regulatory clerks",Moderate signs of Surplus
14400,Shippers and receivers,Balance
14401,Storekeepers and partspersons,Balance
14402,Production logistics workers,Balance
14403,Purchasing and inventory control workers,Balance
14404,Dispatchers,Balance
14405,Transportation route and crew schedulers,Balance
20010,Engineering managers,Balance
20011,Architecture and science managers,Moderate signs of Shortage
20012,Computer and information systems managers,Balance
21100,Physicists and astronomers,N/A
21101,Chemists,Balance
21102,Geoscientists and oceanographers,Balance
21103,Meteorologists and climatologists,N/A
21109,Other professional occupations in physical sciences,Balance
21110,Biologists and related scientists,Balance
21111,Forestry professionals,Balance
21112,"Agricultural representatives, consultants and specialists",Balance
21120,Public and environmental health and safety professionals,Balance
21200,Architects,Balance
21201,Landscape architects,Balance
21202,Urban and land use planners,Moderate signs of Shortage
21203,Land surveyors,Balance
21210,"Mathematicians, statisticians and actuaries",Balance
21211,Data scientists,Balance
21220,Cybersecurity specialists,Moderate signs of Shortage
21221,Business systems specialists,Balance
21222,Information systems specialists,Balance
21223,Database analysts and data administrators,Balance
21230,Computer systems developers and programmers,Balance
21231,Software engineers and designers,Balance
21232,Software developers and programmers,Balance
21233,Web designers,Balance
21234,Web developers and programmers,Balance
21300,Civil engineers,Moderate signs of Shortage
21301,Mechanical engineers,Moderate signs of Shortage
21310,Electrical and electronics engineers,Moderate signs of Shortage
21311,Computer engineers (except software engineers and designers),Balance
21320,Chemical engineers,Balance
21321,Industrial and manufacturing engineers,Moderate signs of Shortage
21322,Metallurgical and materials engineers,N/A
21330,Mining engineers,Moderate signs of Shortage
21331,Geological engineers,Strong signs of Shortage
21332,Petroleum engineers,Balance
21390,Aerospace engineers,Balance
21399,Other professional engineers,Balance
22100,Chemical technologists and technicians,Balance
22101,Geological and mineral technologists and technicians,Balance
22110,Biological technologists and technicians,Balance
22111,Agricultural and fish products inspectors,Balance
22112,Forestry technologists and technicians,Balance
22113,Conservation and fishery officers,Moderate signs of Surplus
22114,Landscape and horticulture technicians and specialists,Balance
22210,Architectural technologists and technicians,Balance
22211,Industrial designers,Balance
22212,Drafting technologists and technicians,Moderate signs of Shortage
22213,Land survey technologists and technicians,Balance
22214,Technical occupations in geomatics and meteorology,Balance
22220,Computer network and web technicians,Balance
22221,User support technicians,Balance
22222,Information systems testing technicians,Balance
22230,Non-destructive testers and inspectors,Balance
22231,Engineering inspectors and regulatory officers,Balance
22232,Occupational health and safety specialists,Balance
22233,Construction inspectors,Balance
22300,Civil engineering technologists and technicians,Moderate signs of Shortage
22301,Mechanical engineering technologists and technicians,Moderate signs of Shortage
22302,Industrial engineering and manufacturing technologists and technicians,Balance
22303,Construction estimators,Moderate signs of Shortage
22310,Electrical and electronics engineering technologists and technicians,Moderate signs of Shortage
22311,Electronic service technicians (household and business equipment),Balance
22312,Industrial instrument technicians and mechanics,Balance
22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",Strong signs of Shortage
30010,Managers in health care,Balance
31100,Specialists in clinical and laboratory medicine,Strong signs of Shortage
31101,Specialists in surgery,Strong signs of Shortage
31102,General practitioners and family physicians,Strong signs of Shortage
31103,Veterinarians,Strong signs of Shortage
31110,Dentists,Strong signs of Shortage
31111,Optometrists,Strong signs of Shortage
31112,Audiologists and speech-language pathologists,Strong signs of Shortage
31120,Pharmacists,Strong signs of Shortage
31121,Dietitians and nutritionists,Strong signs of Shortage
31200,Psychologists,Strong signs of Shortage
31201,Chiropractors,Moderate signs of Shortage
31202,Physiotherapists,Strong signs of Shortage
31203,Occupational therapists,Strong signs of Shortage
31204,Kinesiologists and other professional occupations in therapy and assessment,Moderate signs of Shortage
31209,Other professional occupations in health diagnosing and treating,Moderate signs of Shortage
31300,Nursing coordinators and supervisors,Strong signs of Shortage
31301,Registered nurses and registered psychiatric nurses,Strong signs of Shortage
31302,Nurse practitioners,Strong signs of Shortage
31303,"Physician assistants, midwives and allied health professionals",Strong signs of Shortage
32100,Opticians,Balance
32101,Licensed practical nurses,Strong signs of Shortage
32102,Paramedical occupations,Strong signs of Shortage
32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",Strong signs of Shortage
32104,Animal health technologists and veterinary technicians,Strong signs of Shortage
32109,Other technical occupations in therapy and assessment,Strong signs of Shortage
32110,Denturists,Balance
32111,Dental hygienists and dental therapists,Strong signs of Shortage
32112,Dental technologists and technicians,Balance
32120,Medical laboratory technologists,Strong signs of Shortage
32121,Medical radiation technologists,Strong signs of Shortage
32122,Medical sonographers,Strong signs of Shortage
32123,Cardiology technologists and electrophysiological diagnostic technologists,Strong signs of Shortage
32124,Pharmacy technicians,Moderate signs of Shortage
32129,Other medical technologists and technicians,Moderate signs of Shortage
32200,Traditional Chinese medicine practitioners and acupuncturists,Balance
32201,Massage therapists,Moderate signs of Shortage
32209,Other practitioners of natural healing,Balance
33100,Dental assistants and dental laboratory assistants,Balance
33101,Medical laboratory assistants and related technical occupations,Strong signs of Shortage
33102,"Nurse aides, orderlies and patient service associates",Strong signs of Shortage
33103,Pharmacy technical assistants and pharmacy assistants,Moderate signs of Shortage
33109,Other assisting occupations in support of health services,Balance
40010,Government managers - health and social policy development and program administration,Balance
40011,"Government managers - economic analysis, policy development and program administration",Balance
40012,Government managers - education policy development and program administration,N/A
40019,Other managers in public administration,Balance
40020,Administrators - post-secondary education and vocational training,Balance
40021,School principals and administrators of elementary and secondary education,Balance
40030,"Managers in social, community and correctional services",Balance
40040,Commissioned police officers and related occupations in public protection services,N/A
40041,Fire chiefs and senior firefighting officers,Balance
40042,Commissioned officers of the Canadian Armed Forces,N/A
41100,Judges,Balance
41101,Lawyers and Quebec notaries,Balance
41200,University professors and lecturers,Balance
41201,Post-secondary teaching and research assistants,Balance
41210,College and other vocational instructors,Balance
41220,Secondary school teachers,Moderate signs of Shortage
41221,Elementary school and kindergarten teachers,Moderate signs of Shortage
41300,Social workers,Strong signs of Shortage
41301,Therapists in counselling and related specialized therapies,Moderate signs of Shortage
41302,Religious leaders,Balance
41310,Police investigators and other investigative occupations,Balance
41311,Probation and parole officers,Balance
41320,Educational counsellors,Balance
41321,Career development practitioners and career counsellors (except education),Balance
41400,"Natural and applied science policy researchers, consultants and program officers",Balance
41401,Economists and economic policy researchers and analysts,Balance
41402,Business development officers and market researchers and analysts,Balance
41403,"Social policy researchers, consultants and program officers",Balance
41404,"Health policy researchers, consultants and program officers",Balance
41405,"Education policy researchers, consultants and program officers",Balance
41406,"Recreation, sports and fitness policy researchers, consultants and program officers",Balance
41407,Program officers unique to government,Balance
41409,Other professional occupations in social science,Balance
42100,Police officers (except commissioned),Moderate signs of Shortage
42101,Firefighters,Moderate signs of Shortage
42102,Specialized members of the Canadian Armed Forces,N/A
42200,Paralegals and related occupations,Balance
42201,Social and community service workers,Strong signs of Shortage
42202,Early childhood educators and assistants,Strong signs of Shortage
42203,Instructors of persons with disabilities,Moderate signs of Shortage
42204,Religion workers,Balance
43100,Elementary and secondary school teacher assistants,Moderate signs of Shortage
43109,Other instructors,Balance
43200,Sheriffs and bailiffs,Balance
43201,Correctional service officers,Balance
43202,By-law enforcement and other regulatory officers,Balance
43203,"Border services, customs, and immigration officers",Balance
43204,Operations Members of the Canadian Armed Forces,N/A
44100,Home child care providers,Balance
44101,"Home support workers, caregivers and related occupations",Strong signs of Shortage
44200,Primary combat members of the Canadian Armed Forces,N/A
45100,"Student monitors, crossing guards and related occupations",Balance
50010,"Library, archive, museum and art gallery managers",Balance
50011,"Managers - publishing, motion pictures, broadcasting and performing arts",Moderate signs of Surplus
50012,"Recreation, sports and fitness program and service directors",Balance
51100,Librarians,Balance
51101,Conservators and curators,Balance
51102,Archivists,N/A
51110,Editors,Balance
51111,Authors and writers (except technical),Balance
51112,Technical writers,Moderate signs of Surplus
51113,Journalists,Balance
51114,"Translators, terminologists and interpreters",Balance
51120,"Producers, directors, choreographers and related occupations",Moderate signs of Surplus
51121,"Conductors, composers and arrangers",Balance
51122,Musicians and singers,Balance
52100,Library and public archive technicians,Moderate signs of Surplus
52110,Film and video camera operators,Balance
52111,Graphic arts technicians,Balance
52112,Broadcast technicians,Balance
52113,Audio and video recording technicians,Balance
52114,Announcers and other broadcasters,Balance
52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",Moderate signs of Surplus
52120,Graphic designers and illustrators,Moderate signs of Surplus
52121,Interior designers and interior decorators,Balance
53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",Balance
53110,Photographers,Balance
53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators",Strong signs of Surplus
53120,Dancers,Balance
53121,"Actors, comedians and circus performers",Balance
53122,"Painters, sculptors and other visual artists",Balance
53123,"Theatre, fashion, exhibit and other creative designers",Balance
53124,Artisans and craftspersons,Balance
53125,"Patternmakers - textile, leather and fur products",N/A
53200,Athletes,Balance
53201,Coaches,Balance
53202,Sports officials and referees,Balance
54100,"Program leaders and instructors in recreation, sport and fitness",Balance
55109,Other performers,N/A
60010,Corporate sales managers,Balance
60020,Retail and wholesale trade managers,Balance
60030,Restaurant and food service managers,Balance
60031,Accommodation service managers,Balance
60040,Managers in customer and personal services,Balance
62010,Retail sales supervisors,Balance
62020,Food service supervisors,Moderate signs of Shortage
62021,Executive housekeepers,Balance
62022,"Accommodation, travel, tourism and related services supervisors",Balance
62023,Customer and information services supervisors,Balance
62024,Cleaning supervisors,Balance
62029,Other services supervisors,Balance
62100,Technical sales specialists - wholesale trade,Balance
62101,Retail and wholesale buyers,Balance
62200,Chefs,Balance
62201,Funeral directors and embalmers,Balance
62202,"Jewellers, jewellery and watch repairers and related occupations",Balance
63100,Insurance agents and brokers,Moderate signs of Shortage
63101,Real estate agents and salespersons,Balance
63102,Financial sales representatives,Balance
63200,Cooks,Moderate signs of Shortage
63201,Butchers - retail and wholesale,Moderate signs of Shortage
63202,Bakers,Balance
63210,Hairstylists and barbers,Balance
63211,"Estheticians, electrologists and related occupations",Balance
63220,Shoe repairers and shoemakers,N/A
63221,Upholsterers,Balance
64100,Retail salespersons and visual merchandisers,Balance
64101,Sales and account representatives - wholesale trade (non-technical),Balance
64200,"Tailors, dressmakers, furriers and milliners",Balance
64201,"Image, social and other personal consultants",Balance
64300,Maîtres d'hôtel and hosts/hostesses,Balance
64301,Bartenders,Balance
64310,Travel counsellors,Balance
64311,Pursers and flight attendants,Balance
64312,Airline ticket and service agents,Balance
64313,"Ground and water transport ticket agents, cargo service representatives and related clerks",Balance
64314,Hotel front desk clerks,Balance
64320,Tour and travel guides,Balance
64321,Casino workers,Balance
64322,Outdoor sport and recreational guides,Moderate signs of Surplus
64400,Customer services representatives - financial institutions,Balance
64401,Postal services representatives,Moderate signs of Shortage
64409,Other customer and information services representatives,Balance
64410,Security guards and related security service occupations,Balance
65100,Cashiers,Balance
65101,Service station attendants,Balance
65102,"Store shelf stockers, clerks and order fillers",Balance
65109,Other sales related occupations,Balance
65200,Food and beverage servers,Balance
65201,"Food counter attendants, kitchen helpers and related support occupations",Balance
65202,Meat cutters and fishmongers – retail and wholesale,Balance
65210,"Support occupations in accommodation, travel and facilities set-up services",Balance
65211,"Operators and attendants in amusement, recreation and sport",Balance
65220,Pet groomers and animal care workers,Balance
65229,Other support occupations in personal services,Balance
65310,Light duty cleaners,Balance
65311,Specialized cleaners,Balance
65312,"Janitors, caretakers and heavy-duty cleaners",Balance
65320,"Dry cleaning, laundry and related occupations",Balance
65329,Other service support occupations,Balance
70010,Construction managers,Balance
70011,Home building and renovation managers,Balance
70012,Facility operation and maintenance managers,Balance
70020,Managers in transportation,Balance
70021,Postal and courier services managers,Balance
72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",Balance
72011,"Contractors and supervisors, electrical trades and telecommunications occupations",Balance
72012,"Contractors and supervisors, pipefitting trades",Balance
72013,"Contractors and supervisors, carpentry trades",Balance
72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers",Balance
72020,"Contractors and supervisors, mechanic trades",Balance
72021,"Contractors and supervisors, heavy equipment operator crews",Balance
72022,"Supervisors, printing and related occupations",Balance
72023,"Supervisors, railway transport operations",Balance
72024,"Supervisors, motor transport and other ground transit operators",Balance
72025,"Supervisors, mail and message distribution occupations",Balance
72100,Machinists and machining and tooling inspectors,Moderate signs of Shortage
72101,Tool and die makers,Balance
72102,Sheet metal workers,Moderate signs of Shortage
72103,Boilermakers,Balance
72104,Structural metal and platework fabricators and fitters,Moderate signs of Shortage
72105,Ironworkers,Balance
72106,Welders and related machine operators,Moderate signs of Shortage
72200,Electricians (except industrial and power system),Moderate signs of Shortage
72201,Industrial electricians,Moderate signs of Shortage
72202,Power system electricians,Balance
72203,Electrical power line and cable workers,Balance
72204,Telecommunications line and cable installers and repairers,Balance
72205,Telecommunications equipment installation and cable television service technicians,Balance
72300,Plumbers,Moderate signs of Shortage
72301,"Steamfitters, pipefitters and sprinkler system installers",Balance
72302,Gas fitters,Moderate signs of Shortage
72310,Carpenters,Strong signs of Shortage
72311,Cabinetmakers,Moderate signs of Shortage
72320,Bricklayers,Moderate signs of Shortage
72321,Insulators,Balance
72400,Construction millwrights and industrial mechanics,Moderate signs of Shortage
72401,Heavy-duty equipment mechanics,Strong signs of Shortage
72402,"Heating, refrigeration and air conditioning mechanics",Strong signs of Shortage
72403,Railway carmen/women,Balance
72404,Aircraft mechanics and aircraft inspectors,Moderate signs of Shortage
72405,Machine fitters,N/A
72406,Elevator constructors and mechanics,Balance
72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers",Moderate signs of Shortage
72411,"Auto body collision, refinishing and glass technicians and damage repair estimators",Moderate signs of Shortage
72420,Oil and solid fuel heating mechanics,Balance
72421,Appliance servicers and repairers,Balance
72422,Electrical mechanics,Strong signs of Shortage
72423,"Motorcycle, all-terrain vehicle and other related mechanics",Balance
72429,Other small engine and small equipment repairers,Balance
72500,Crane operators,Balance
72501,Water well drillers,Balance
72600,"Air pilots, flight engineers and flying instructors",Moderate signs of Shortage
72601,Air traffic controllers and related occupations,Balance
72602,"Deck officers, water transport",Balance
72603,"Engineer officers, water transport",Balance
72604,Railway traffic controllers and marine traffic regulators,N/A
72999,Other technical trades and related occupations,Moderate signs of Shortage
73100,Concrete finishers,Moderate signs of Shortage
73101,Tilesetters,Balance
73102,"Plasterers, drywall installers and finishers and lathers",Balance
73110,Roofers and shinglers,Moderate signs of Shortage
73111,Glaziers,Balance
73112,Painters and decorators (except interior decorators),Moderate signs of Shortage
73113,Floor covering installers,Moderate signs of Shortage
73200,Residential and commercial installers and servicers,Balance
73201,General building maintenance workers and building superintendents,Balance
73202,Pest controllers and fumigators,Balance
73209,Other repairers and servicers,Balance
73300,Transport truck drivers,Moderate signs of Shortage
73301,"Bus drivers, subway operators and other transit operators",Moderate signs of Shortage
73310,Railway and yard locomotive engineers,Balance
73311,Railway conductors and brakemen/women,Balance
73400,Heavy equipment operators,Balance
73401,Printing press operators,Balance
73402,"Drillers and blasters - surface mining, quarrying and construction",Balance
74100,Mail and parcel sorters and related occupations,Balance
74101,Letter carriers,Balance
74102,Couriers and messengers,Balance
74200,Railway yard and track maintenance workers,Balance
74201,Water transport deck and engine room crew,Balance
74202,Air transport ramp attendants,Balance
74203,Automotive and heavy truck and equipment parts installers and servicers,Balance
74204,Utility maintenance workers,Balance
74205,Public works maintenance equipment operators and related workers,Balance
75100,Longshore workers,Strong signs of Surplus
75101,Material handlers,Balance
75110,Construction trades helpers and labourers,Moderate signs of Shortage
75119,Other trades helpers and labourers,Balance
75200,Taxi and limousine drivers and chauffeurs,Balance
75201,Delivery service drivers and door-to-door distributors,Balance
75210,Boat and cable ferry operators and related occupations,Balance
75211,Railway and motor transport labourers,Balance
75212,Public works and maintenance labourers,Balance
80010,Managers in natural resources production and fishing,Balance
80020,Managers in agriculture,Balance
80021,Managers in horticulture,Balance
80022,Managers in aquaculture,N/A
82010,"Supervisors, logging and forestry",Balance
82020,"Supervisors, mining and quarrying",Balance
82021,"Contractors and supervisors, oil and gas drilling and services",Moderate signs of Shortage
82030,Agricultural service contractors and farm supervisors,Balance
82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",Balance
83100,Underground production and development miners,Balance
83101,"Oil and gas well drillers, servicers, testers and related workers",Moderate signs of Shortage
83110,Logging machinery operators,Balance
83120,Fishing masters and officers,N/A
83121,Fishermen/women,Balance
84100,Underground mine service and support workers,Balance
84101,Oil and gas well drilling and related workers and services operators,Balance
84110,Chain saw and skidder operators,Balance
84111,Silviculture and forestry workers,Balance
84120,Specialized livestock workers and farm machinery operators,Strong signs of Shortage
84121,Fishing vessel deckhands,Balance
85100,Livestock labourers,Strong signs of Shortage
85101,Harvesting labourers,Strong signs of Shortage
85102,Aquaculture and marine harvest labourers,Balance
85103,Nursery and greenhouse labourers,Strong signs of Shortage
85104,Trappers and hunters,N/A
85110,Mine labourers,Moderate signs of Shortage
85111,"Oil and gas drilling, servicing and related labourers",Moderate signs of Shortage
85120,Logging and forestry labourers,Balance
85121,Landscaping and grounds maintenance labourers,Balance
90010,Manufacturing managers,Balance
90011,Utilities managers,Balance
92010,"Supervisors, mineral and metal processing",Balance
92011,"Supervisors, petroleum, gas and chemical processing and utilities",Balance
92012,"Supervisors, food and beverage processing",Balance
92013,"Supervisors, plastic and rubber products manufacturing",Balance
92014,"Supervisors, forest products processing",Balance
92015,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",Balance
92020,"Supervisors, motor vehicle assembling",Balance
92021,"Supervisors, electronics and electrical products manufacturing",Balance
92022,"Supervisors, furniture and fixtures manufacturing",Balance
92023,"Supervisors, other mechanical and metal products manufacturing",Balance
92024,"Supervisors, other products manufacturing and assembly",Balance
92100,Power engineers and power systems operators,Balance
92101,Water and waste treatment plant operators,Balance
93100,"Central control and process operators, mineral and metal processing",N/A
93101,"Central control and process operators, petroleum, gas and chemical processing",Balance
93102,"Pulping, papermaking and coating control operators",N/A
93200,Aircraft assemblers and aircraft assembly inspectors,Balance
94100,"Machine operators, mineral and metal processing",Balance
94101,Foundry workers,N/A
94102,Glass forming and finishing machine operators and glass cutters,N/A
94103,"Concrete, clay and stone forming operators",Balance
94104,"Inspectors and testers, mineral and metal processing",Balance
94105,Metalworking and forging machine operators,Balance
94106,Machining tool operators,Balance
94107,Machine operators of other metal products,Balance
94110,Chemical plant machine operators,Balance
94111,Plastics processing machine operators,Balance
94112,Rubber processing machine operators and related workers,Balance
94120,Sawmill machine operators,Balance
94121,"Pulp mill, papermaking and finishing machine operators",Balance
94122,Paper converting machine operators,Moderate signs of Shortage
94123,Lumber graders and other wood processing inspectors and graders,Balance
94124,Woodworking machine operators,Balance
94129,Other wood processing machine operators,Balance
94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers",Balance
94131,"Weavers, knitters and other fabric making occupations",N/A
94132,Industrial sewing machine operators,Balance
94133,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",N/A
94140,"Process control and machine operators, food and beverage processing",Balance
94141,"Industrial butchers and meat cutters, poultry preparers and related workers",Strong signs of Shortage
94142,Fish and seafood plant workers,Strong signs of Shortage
94143,"Testers and graders, food and beverage processing",Balance
94150,Plateless printing equipment operators,Balance
94151,"Camera, platemaking and other prepress occupations",N/A
94152,Binding and finishing machine operators,Balance
94153,Photographic and film processors,N/A
94200,"Motor vehicle assemblers, inspectors and testers",Balance
94201,"Electronics assemblers, fabricators, inspectors and testers",Balance
94202,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",Balance
94203,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",Moderate signs of Shortage
94204,Mechanical assemblers and inspectors,Balance
94205,"Machine operators and inspectors, electrical apparatus manufacturing",N/A
94210,"Furniture and fixture assemblers, finishers, refinishers and inspectors",Balance
94211,Assemblers and inspectors of other wood products,Balance
94212,"Plastic products assemblers, finishers and inspectors",Balance
94213,"Industrial painters, coaters and metal finishing process operators",Balance
94219,"Other products assemblers, finishers and inspectors",Balance
95100,Labourers in mineral and metal processing,Balance
95101,Labourers in metal fabrication,Moderate signs of Shortage
95102,Labourers in chemical products processing and utilities,Balance
95103,"Labourers in wood, pulp and paper processing",Moderate signs of Shortage
95104,Labourers in rubber and plastic products manufacturing,Balance
95105,Labourers in textile processing and cutting,Balance
95106,Labourers in food and beverage processing,Moderate signs of Shortage
95107,Labourers in fish and seafood processing,Strong signs of Shortage
95109,"Other labourers in processing, manufacturing and utilities",Balance
