Code,Occupation Name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
11109,Other financial officers,46600,48000,49500,50800,52000,53100,54000,54900,55900,56800,57600
11200,Human resources professionals,126700,128800,131900,135200,138000,140600,143100,145600,148200,150700,153200
11201,Professional occupations in business management consulting,122300,124800,127800,129900,131600,133200,134700,136100,137700,139300,140900
11202,"Professional occupations in advertising, marketing and public relations",233600,242100,245600,249500,252800,256400,260000,263300,267300,271200,275100
12010,"Supervisors, general office and administrative support workers",21300,21300,22000,22500,22900,23200,23500,23800,24100,24400,24600
12011,"Supervisors, finance and insurance office workers",45900,47000,47600,48400,48900,49600,50100,50500,51000,51600,52100
12012,"Supervisors, library, correspondence and related information workers",3700,3800,3900,3900,4000,4000,4000,4000,4000,4000,4000
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",81400,83300,83700,85900,88200,89400,90500,91600,92700,93800,94900
12100,Executive assistants,41500,42600,43400,44200,44800,45200,45400,45700,46000,46300,46600
12101,Human resources and recruitment officers,52100,53300,53700,55700,56500,57200,58200,59200,60000,60900,61900
12102,Procurement and purchasing agents and officers,80500,84100,85000,86500,88000,89300,90600,91800,93200,94700,96200
12103,Conference and event planners,28400,28900,29900,30300,30800,31200,31700,32100,32500,32900,33300
12104,Employment insurance and revenue officers,65700,65600,66900,67700,68200,68800,69400,69800,70600,71300,72100
12110,"Court reporters, medical transcriptionists and related occupations",7900,7500,7900,8300,8500,8700,8800,9000,9100,9300,9400
12111,Health information management occupations,6000,6100,6200,6400,6500,6600,6700,6900,7000,7100,7300
12112,Records management technicians,8300,8400,8600,8800,9000,9100,9300,9400,9500,9700,9800
12113,Statistical officers and related research support occupations,6800,7000,7000,7000,7100,7100,7200,7200,7300,7300,7400
12200,Accounting technicians and bookkeepers,204400,209600,212700,215400,217200,219300,221600,223700,226200,228800,231400
12201,Insurance adjusters and claims examiners,46000,47700,49900,51600,52900,54100,55200,56100,57300,58400,59400
12202,Insurance underwriters,28100,27800,28900,29400,30100,30700,31100,31600,32000,32400,32800
12203,"Assessors, business valuators and appraisers",17200,17600,17900,18200,18300,18400,18500,18500,18500,18600,18600
13100,Administrative officers,238500,243800,247600,251500,254400,257400,260200,262900,265800,268500,271300
13101,Property administrators,48200,48700,49600,50900,51900,52800,53500,54200,55000,55700,56400
13102,Payroll administrators,53300,54400,56600,57400,58400,59300,59900,60700,61500,62300,63100
13110,Administrative assistants,233800,237700,242100,244800,247100,248300,249600,251000,252100,253300,254300
13111,Legal administrative assistants,54900,55300,56600,57800,58200,58800,59300,59700,60200,60800,61300
13112,Medical administrative assistants,84300,85300,86800,88700,90300,92000,93700,95400,97100,98800,100500
13200,"Customs, ship and other brokers",7800,8000,8200,8300,8300,8400,8400,8500,8600,8600,8700
13201,Production and transportation logistics coordinators,33400,34700,34900,35100,35600,36200,36800,37200,37700,38200,38600
14100,General office support workers,129200,131800,133300,133400,132900,132000,131100,130300,129100,127900,126700
14101,Receptionists,144600,148400,149900,151600,152500,153600,154500,155300,156100,156800,157500
14102,Personnel clerks,12800,13200,13500,13600,13800,14000,14200,14300,14500,14700,14900
14103,Court clerks and related court services occupations,8500,9000,9100,9200,9300,9400,9400,9500,9600,9700,9700
14110,Survey interviewers and statistical clerks,6200,6100,6100,6200,6100,6100,6100,6100,6100,6000,6000
14111,Data entry clerks,36000,36400,36800,37200,37200,37200,37100,37000,36900,36800,36700
14112,Desktop publishing operators and related occupations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14200,Accounting and related clerks,151100,152700,155800,157800,158700,159500,160200,160600,161300,161900,162300
14201,"Banking, insurance and other financial clerks",28200,28400,28800,29000,29200,29300,29300,29300,29300,29300,29300
14202,Collection clerks,9800,9800,10000,10100,10100,10100,10100,10000,10000,10000,9900
14300,Library assistants and clerks,15100,15100,15300,15500,15600,15600,15700,15700,15800,15900,15900
14301,"Correspondence, publication and regulatory clerks",19100,18900,19000,19900,19900,20300,20500,20600,20800,21000,21200
14400,Shippers and receivers,114600,114300,116500,117800,118200,118400,118600,118700,118800,118900,119000
14401,Storekeepers and partspersons,21600,21600,22800,22800,22700,22600,22600,22500,22500,22400,22300
14402,Production logistics workers,3100,3000,3100,3100,3200,3200,3200,3200,3200,3200,3300
14403,Purchasing and inventory control workers,30000,31000,31600,31800,31900,32000,32100,32200,32400,32500,32600
14404,Dispatchers,33100,34400,35000,35700,36100,36300,36500,36600,36800,37000,37200
14405,Transportation route and crew schedulers,3400,3200,3100,3400,3500,3400,3400,3500,3500,3500,3500
20010,Engineering managers,34300,34800,35200,35700,36000,36400,36700,37100,37400,37700,38000
20011,Architecture and science managers,16300,16900,17000,17200,17400,17600,17800,18000,18200,18400,18600
20012,Computer and information systems managers,124200,131100,133100,136200,139400,143000,146500,150000,153600,157200,161000
21100,Physicists and astronomers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21101,Chemists,12100,11600,12200,12400,12500,12600,12800,12700,12700,12800,12900
21102,Geoscientists and oceanographers,10000,10000,10200,10300,10300,10300,10300,10200,10200,10200,10300
21103,Meteorologists and climatologists,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21109,Other professional occupations in physical sciences,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
21110,Biologists and related scientists,30900,31300,31300,31600,31900,32100,32300,32500,32700,32800,33000
21111,Forestry professionals,4200,4400,4500,4500,4500,4500,4500,4500,4600,4600,4600
21112,"Agricultural representatives, consultants and specialists",5600,5500,5700,5800,5900,6000,6100,6100,6200,6300,6400
21120,Public and environmental health and safety professionals,12100,12300,12500,12700,12800,12900,13000,13000,13100,13200,13300
21200,Architects,26900,27600,27700,27900,27900,27900,28000,28000,28100,28100,28100
21201,Landscape architects,3300,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
21202,Urban and land use planners,15600,16100,16500,16700,16900,17000,17200,17300,17500,17600,17700
21203,Land surveyors,7200,7300,7300,7400,7400,7300,7300,7300,7300,7200,7200
21210,"Mathematicians, statisticians and actuaries",16000,16100,16500,16700,17000,17200,17400,17500,17700,17800,18000
21211,Data scientists,36600,38000,38500,39100,39600,40100,40600,41200,41700,42200,42700
21220,Cybersecurity specialists,31800,33700,34200,34900,35600,36300,37100,37800,38700,39500,40400
21221,Business systems specialists,34900,36300,37100,38000,38800,39600,40400,41200,42100,42900,43800
21222,Information systems specialists,229400,232700,237300,242300,248400,253100,258300,263200,268100,272900,278000
21223,Database analysts and data administrators,52400,53600,54800,56400,58000,59500,60800,62100,63400,64800,66100
21230,Computer systems developers and programmers,45700,46200,46600,47000,47100,47100,47100,47100,47200,47200,47300
21231,Software engineers and designers,113100,118100,119300,122300,125000,127600,130100,132600,135100,137800,140600
21232,Software developers and programmers,155700,160800,163600,168300,173400,178500,183400,188400,193300,198100,203300
21233,Web designers,13100,13200,13300,13600,13700,13900,14000,14200,14400,14600,14800
21234,Web developers and programmers,28700,30000,29200,29900,30200,30700,31200,31800,32200,32700,33100
21300,Civil engineers,65600,68200,67900,68500,69000,69400,69900,70300,70700,71100,71500
21301,Mechanical engineers,44900,45500,46000,46600,47000,47300,47500,47700,47800,48000,48200
21310,Electrical and electronics engineers,41300,42500,43100,43700,44200,44600,44900,45100,45400,45700,46100
21311,Computer engineers (except software engineers and designers),32500,34300,33600,34300,35400,36500,37300,37900,38700,39400,40200
21320,Chemical engineers,14100,14200,14600,14800,15000,15200,15200,15200,15300,15400,15400
21321,Industrial and manufacturing engineers,20400,20600,20400,20600,20900,21100,21300,21500,21700,22000,22200
21322,Metallurgical and materials engineers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21330,Mining engineers,5300,5100,5200,5300,5400,5500,5500,5500,5500,5600,5600
21331,Geological engineers,3500,3600,3900,3800,3900,4000,4000,4000,4000,4100,4100
21332,Petroleum engineers,11300,11400,11800,11900,11800,11700,11700,11300,11200,11200,11100
21390,Aerospace engineers,5400,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
21399,Other professional engineers,42900,44400,44800,45200,45500,45700,45900,46100,46300,46500,46700
22100,Chemical technologists and technicians,26300,27000,27500,27600,27900,28300,28600,28700,29100,29500,29900
22101,Geological and mineral technologists and technicians,9100,9200,9400,9600,9600,9600,9600,9500,9500,9500,9500
22110,Biological technologists and technicians,6700,6800,6900,6900,6800,6800,6700,6700,6600,6600,6500
22111,Agricultural and fish products inspectors,2000,2000,2100,2100,2100,2000,2000,2000,2000,2000,2000
22112,Forestry technologists and technicians,6200,6700,6700,6800,6800,6800,6900,6900,6900,7000,7000
22113,Conservation and fishery officers,3200,3300,3300,3400,3400,3400,3400,3400,3400,3400,3400
22114,Landscape and horticulture technicians and specialists,15100,14100,15000,15400,15600,15700,16000,15900,16300,16700,17200
22210,Architectural technologists and technicians,9300,9500,9700,9700,9800,9900,9900,9900,10000,10000,10000
22211,Industrial designers,10000,10000,10200,10300,10400,10400,10500,10600,10600,10700,10800
22212,Drafting technologists and technicians,37700,38000,38500,39000,39100,39200,39200,39200,39200,39200,39200
22213,Land survey technologists and technicians,7400,7500,7600,7700,7700,7700,7700,7700,7700,7700,7700
22214,Technical occupations in geomatics and meteorology,8700,9300,9500,9300,9100,9000,9000,9000,8900,8800,8700
22220,Computer network and web technicians,40800,41500,41600,42100,42200,42200,42200,42300,42500,42500,42500
22221,User support technicians,119200,122700,126000,128000,130400,132500,134800,137100,139500,141900,144300
22222,Information systems testing technicians,20000,20800,20800,21200,21400,21700,22000,22300,22600,22900,23200
22230,Non-destructive testers and inspectors,4800,4600,4600,4700,4700,4600,4600,4600,4600,4600,4600
22231,Engineering inspectors and regulatory officers,7100,7200,7400,7600,7700,7700,7800,7800,7900,7900,8000
22232,Occupational health and safety specialists,33400,33800,34400,35200,35800,36500,37100,37800,38500,39100,39800
22233,Construction inspectors,25700,26300,26700,27200,27700,28100,28500,28900,29400,29900,30400
22300,Civil engineering technologists and technicians,27400,28400,28500,28400,28600,28700,28900,29100,29200,29300,29400
22301,Mechanical engineering technologists and technicians,21900,21900,22400,22800,23100,23500,23700,24000,24200,24500,24700
22302,Industrial engineering and manufacturing technologists and technicians,22400,23100,23200,23600,24000,24200,24400,24600,24900,25100,25400
22303,Construction estimators,22900,23200,24200,25100,25700,26300,26800,27400,28000,28500,29100
22310,Electrical and electronics engineering technologists and technicians,28500,28600,29200,29700,30000,30200,30400,30700,30800,31000,31100
22311,Electronic service technicians (household and business equipment),44600,45600,46700,47300,47500,47800,47900,48100,48200,48400,48600
22312,Industrial instrument technicians and mechanics,12100,12200,12600,12900,13100,13300,13300,13200,13300,13400,13500
22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",3500,3600,3600,3700,3700,3700,3700,3700,3700,3700,3700
30010,Managers in health care,43600,44600,45800,47200,48500,49900,51300,52700,54200,55600,57100
31100,Specialists in clinical and laboratory medicine,34000,34500,35400,36400,37300,38100,38900,39700,40500,41400,42300
31101,Specialists in surgery,10500,10700,10900,11200,11400,11700,12000,12300,12500,12800,13100
31102,General practitioners and family physicians,76000,78800,80600,83000,85600,88300,91100,94000,96900,99800,102900
31103,Veterinarians,12600,13100,13600,13900,14200,14400,14600,14900,15100,15400,15600
31110,Dentists,21400,21800,22400,23100,23700,24300,24900,25600,26200,26900,27600
31111,Optometrists,6400,6500,6700,6800,7000,7200,7400,7600,7800,8000,8200
31112,Audiologists and speech-language pathologists,18300,18900,19400,20000,20400,20800,21200,21600,22000,22400,22800
31120,Pharmacists,47700,47300,49200,50700,51900,53200,54400,55700,57000,58300,59700
31121,Dietitians and nutritionists,12300,12500,12800,13100,13400,13700,14000,14300,14600,14900,15200
31200,Psychologists,24900,25500,26100,26700,27200,27800,28400,29000,29600,30200,30900
31201,Chiropractors,9800,10200,10500,10800,11100,11400,11600,11900,12100,12400,12700
31202,Physiotherapists,38300,39200,40400,41700,43000,44300,45700,47000,48400,49800,51200
31203,Occupational therapists,22700,22800,23400,24100,24900,25700,26500,27200,28000,28900,29700
31204,Kinesiologists and other professional occupations in therapy and assessment,9400,9600,9800,10100,10300,10600,10800,11100,11300,11600,11900
31209,Other professional occupations in health diagnosing and treating,8700,8900,9100,9400,9600,9900,10100,10400,10600,10900,11200
31300,Nursing coordinators and supervisors,28000,28000,28600,29500,30500,31400,32500,33500,34600,35700,36900
31301,Registered nurses and registered psychiatric nurses,363100,370400,378800,388800,398300,408300,418500,428900,439200,449700,460900
31302,Nurse practitioners,5600,5700,5900,6100,6300,6500,6700,6900,7100,7300,7500
31303,"Physician assistants, midwives and allied health professionals",6400,6600,6700,6800,6900,7100,7200,7400,7500,7700,7800
32100,Opticians,11700,12500,12700,12800,12900,13100,13400,13700,14000,14300,14700
32101,Licensed practical nurses,62600,64300,64400,65300,66400,67900,69500,71700,73300,75000,76800
32102,Paramedical occupations,40700,42400,44000,45700,47100,48500,49900,51300,52600,53900,55300
32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",13400,14200,13500,13600,13900,14200,14600,14900,15300,15700,16100
32104,Animal health technologists and veterinary technicians,25800,25900,27300,27800,28200,29300,29500,30400,30900,31500,32100
32109,Other technical occupations in therapy and assessment,20600,21000,21700,22500,23200,23900,24600,25200,26000,26700,27500
32110,Denturists,2000,2000,2000,2100,2100,2100,2200,2200,2200,2200,2200
32111,Dental hygienists and dental therapists,33900,34400,35200,36800,37700,38900,39900,40700,41800,42900,44000
32112,Dental technologists and technicians,6400,6800,6700,6700,6800,6800,6900,6900,7000,7000,7100
32120,Medical laboratory technologists,24300,24500,25200,26000,26700,27500,28300,29100,29900,30800,31600
32121,Medical radiation technologists,28100,28700,29400,30300,31100,31900,32700,33600,34400,35300,36200
32122,Medical sonographers,9600,9700,10000,10300,10600,10800,11100,11400,11700,12000,12300
32123,Cardiology technologists and electrophysiological diagnostic technologists,5600,5700,5800,6000,6200,6300,6500,6700,6800,7000,7200
32124,Pharmacy technicians,32600,32500,33200,34400,35100,35800,36400,37300,37900,38400,39000
32129,Other medical technologists and technicians,7300,7400,7500,7600,7700,7700,7800,7900,8000,8000,8100
32200,Traditional Chinese medicine practitioners and acupuncturists,8100,8300,8500,8700,9000,9200,9500,9700,10000,10200,10500
32201,Massage therapists,45000,45900,47100,48400,49700,51000,52300,53600,55000,56300,57800
32209,Other practitioners of natural healing,4700,4700,4900,5000,5100,5200,5300,5300,5400,5500,5600
33100,Dental assistants and dental laboratory assistants,38000,38800,39800,41000,42100,43200,44400,45500,46700,47900,49200
33101,Medical laboratory assistants and related technical occupations,33400,34100,34800,35700,36500,37400,38400,39400,40400,41400,42400
33102,"Nurse aides, orderlies and patient service associates",296900,303500,310900,319800,328200,336900,345700,354600,363500,372500,382000
33103,Pharmacy technical assistants and pharmacy assistants,33900,33800,34600,36100,37200,37900,38600,39800,40300,40900,41500
33109,Other assisting occupations in support of health services,32000,32300,33700,35000,36100,37200,38200,39300,40300,41400,42500
40010,Government managers - health and social policy development and program administration,7800,8100,8300,8400,8500,8600,8600,8700,8800,8800,8800
40011,"Government managers - economic analysis, policy development and program administration",12700,13000,13200,13300,13400,13400,13400,13400,13400,13400,13400
40012,Government managers - education policy development and program administration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40019,Other managers in public administration,32300,33500,34500,35200,35700,36100,36500,36900,37400,37800,38100
40020,Administrators - post-secondary education and vocational training,17000,17400,17500,17600,17700,17800,18000,18100,18200,18300,18500
40021,School principals and administrators of elementary and secondary education,39500,41100,42000,42300,42100,41900,41600,41500,41200,41000,40800
40030,"Managers in social, community and correctional services",46700,48500,49100,49600,49800,50000,50200,50100,50300,50500,50600
40040,Commissioned police officers and related occupations in public protection services,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40041,Fire chiefs and senior firefighting officers,2700,2800,2900,2900,3000,3000,3000,3000,3100,3100,3100
40042,Commissioned officers of the Canadian Armed Forces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41100,Judges,4100,4200,4400,4400,4500,4500,4500,4500,4500,4500,4600
41101,Lawyers and Quebec notaries,124300,128600,132100,133600,134600,135500,136400,137300,138300,139200,140300
41200,University professors and lecturers,86000,88500,89000,90000,91100,91800,92800,93400,94300,95000,95700
41201,Post-secondary teaching and research assistants,84200,85500,86000,87100,88600,90200,91500,92900,93800,94900,95500
41210,College and other vocational instructors,131100,131300,132200,133800,135700,137400,139400,141400,143500,145400,147400
41220,Secondary school teachers,175100,179900,183500,186200,187500,188800,189900,190900,192200,193500,195000
41221,Elementary school and kindergarten teachers,337300,346500,353500,358600,361100,363700,365800,367700,370300,372800,375600
41300,Social workers,77500,82700,82700,84100,85200,86500,87800,89300,90600,92000,93400
41301,Therapists in counselling and related specialized therapies,69900,74500,75200,76500,77500,78700,79900,81200,82500,83700,85100
41302,Religious leaders,22300,23400,23400,23500,23500,23600,23600,23700,23700,23800,23800
41310,Police investigators and other investigative occupations,11900,12400,12600,12800,12900,13000,13100,13300,13400,13500,13600
41311,Probation and parole officers,7600,7800,8000,8000,8100,8100,8100,8100,8100,8100,8100
41320,Educational counsellors,24500,24800,25300,25800,26300,26800,27300,27800,28200,28600,29000
41321,Career development practitioners and career counsellors (except education),20900,21500,21600,21800,21900,22000,22100,22200,22300,22400,22500
41400,"Natural and applied science policy researchers, consultants and program officers",37800,38100,38500,40000,40500,41400,42100,42800,43600,44400,45200
41401,Economists and economic policy researchers and analysts,20100,20500,20900,21200,21300,21500,21700,21800,22000,22100,22300
41402,Business development officers and market researchers and analysts,33700,33400,34300,34900,35400,35800,36200,36700,37000,37400,37800
41403,"Social policy researchers, consultants and program officers",80400,82400,83000,83300,84000,84700,85800,86600,88000,89200,90500
41404,"Health policy researchers, consultants and program officers",45100,46200,47300,48400,49200,50000,50900,51800,52600,53400,54300
41405,"Education policy researchers, consultants and program officers",32200,33700,34500,35100,35700,36100,36600,37000,37400,37700,38100
41406,"Recreation, sports and fitness policy researchers, consultants and program officers",9300,9400,9400,9600,9700,9900,10100,10300,10500,10700,10900
41407,Program officers unique to government,10700,11000,11200,11300,11300,11300,11300,11300,11300,11300,11300
41409,Other professional occupations in social science,3700,3800,3800,3700,3700,3700,3700,3700,3600,3600,3600
42100,Police officers (except commissioned),79800,80300,81700,83100,83500,83700,83900,84000,84200,84200,84100
42101,Firefighters,39800,40200,40800,41300,41400,41500,41600,41600,41800,41900,41900
42102,Specialized members of the Canadian Armed Forces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42200,Paralegals and related occupations,36000,35600,37400,38700,39400,40100,40700,41300,42000,42600,43300
42201,Social and community service workers,155600,163300,165800,168500,170200,172000,173600,175300,177000,178600,180300
42202,Early childhood educators and assistants,246800,264600,274400,285900,295600,305200,314900,325100,335300,345800,356800
42203,Instructors of persons with disabilities,7100,7600,7700,7800,7700,7700,7700,7700,7600,7500,7500
42204,Religion workers,6500,6400,6600,6600,6500,6500,6500,6500,6500,6500,6500
43100,Elementary and secondary school teacher assistants,105300,109900,112600,113900,113700,113400,112900,112900,112500,112200,112000
43109,Other instructors,31900,32100,32500,32800,33400,33900,34500,35100,35700,36300,36800
43200,Sheriffs and bailiffs,3400,3500,3500,3400,3500,3500,3500,3600,3600,3600,3600
43201,Correctional service officers,26100,26900,27400,27600,27700,27800,27800,27900,27900,27900,27900
43202,By-law enforcement and other regulatory officers,11000,11500,11800,12000,12100,12300,12400,12600,12700,12900,13000
43203,"Border services, customs, and immigration officers",14700,14800,14900,15100,15100,15200,15300,15400,15400,15500,15600
43204,Operations Members of the Canadian Armed Forces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44100,Home child care providers,19900,20500,21100,21000,21200,21200,21400,21400,21600,21700,21800
44101,"Home support workers, caregivers and related occupations",67400,71300,71300,71900,71800,71700,71400,71000,70700,70400,70100
44200,Primary combat members of the Canadian Armed Forces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45100,"Student monitors, crossing guards and related occupations",19300,20000,20500,20800,20800,20800,20700,20800,20700,20700,20700
50010,"Library, archive, museum and art gallery managers",3300,3400,3500,3500,3500,3500,3500,3500,3500,3600,3600
50011,"Managers - publishing, motion pictures, broadcasting and performing arts",5600,5500,5600,5600,5600,5600,5700,5700,5700,5700,5700
50012,"Recreation, sports and fitness program and service directors",5800,6300,6500,6600,6600,6600,6700,6700,6800,6800,6900
51100,Librarians,10400,10200,10400,10500,10600,10600,10600,10600,10600,10600,10600
51101,Conservators and curators,3000,3100,3100,3200,3200,3200,3300,3300,3300,3400,3400
51102,Archivists,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51110,Editors,14000,14100,14200,14400,14500,14600,14700,14800,14900,15100,15200
51111,Authors and writers (except technical),27200,29100,28500,28600,28800,29000,29200,29500,29700,29900,30100
51112,Technical writers,8000,8200,8300,8400,8500,8500,8600,8600,8700,8700,8800
51113,Journalists,10900,11100,11200,11400,11500,11600,11600,11700,11800,11900,11900
51114,"Translators, terminologists and interpreters",24500,24700,25000,25400,25800,26100,26400,26900,27000,27200,27500
51120,"Producers, directors, choreographers and related occupations",37600,37800,39900,40300,40700,41100,41500,41700,42300,42800,43200
51121,"Conductors, composers and arrangers",3500,3600,3700,3700,3800,3800,3800,3900,3900,4000,4000
51122,Musicians and singers,29700,30400,30400,30700,31100,31400,31800,32100,32500,32800,33100
52100,Library and public archive technicians,7200,7200,7300,7400,7400,7400,7400,7400,7300,7300,7400
52110,Film and video camera operators,7600,8000,8000,8000,8100,8100,8200,8300,8300,8400,8500
52111,Graphic arts technicians,14800,15100,15500,15800,16100,16400,16700,16900,17200,17500,17700
52112,Broadcast technicians,1500,1600,1600,1600,1600,1600,1600,1500,1500,1500,1500
52113,Audio and video recording technicians,13100,13200,13300,13500,13600,13700,13800,13900,14000,14000,14100
52114,Announcers and other broadcasters,3700,3400,3500,3600,3600,3600,3500,3500,3500,3400,3400
52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",14700,14800,15100,15200,15400,15500,15700,15800,15900,16000,16100
52120,Graphic designers and illustrators,93200,95400,96000,97600,98600,99900,100900,102200,103100,104400,105500
52121,Interior designers and interior decorators,32900,33800,34200,34400,34600,34900,35100,35400,35700,35900,36100
53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",9400,10200,9900,10000,10100,10200,10300,10500,10600,10800,10900
53110,Photographers,22400,22800,23500,23800,23900,24000,24200,24300,24400,24500,24700
53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators",7700,7600,7700,7800,7900,8000,8000,8100,8100,8200,8300
53120,Dancers,13600,13900,14200,14300,14600,14900,15200,15500,15800,16100,16300
53121,"Actors, comedians and circus performers",14900,15500,15800,16000,16200,16400,16600,16800,17000,17100,17300
53122,"Painters, sculptors and other visual artists",17100,17800,18300,18400,18400,18400,18400,18500,18500,18500,18500
53123,"Theatre, fashion, exhibit and other creative designers",9600,9900,10000,10200,10300,10300,10300,10300,10400,10500,10600
53124,Artisans and craftspersons,8900,9300,9200,9400,9500,9600,9800,9900,10000,10200,10300
53125,"Patternmakers - textile, leather and fur products",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
53200,Athletes,2700,2900,3000,3000,3000,3000,3000,3100,3100,3100,3100
